,rating,genre,star,budget,runtime,star_net_worth
18367,PG,Comedy,Ryan O'Neal,6000000.0,113.0,15000000.0
18381,PG,Action,Clint Eastwood,25000000.0,93.0,375000000.0
18446,R,Action,Kris Kristofferson,10000000.0,93.0,160000000.0
18523,R,Comedy,Tab Hunter,3000000.0,84.0,10000000.0
18547,Not Rated,Crime,Steven Bauer,9000000.0,100.0,5000000.0
18575,R,Comedy,Joe Morton,350000.0,108.0,4000000.0
18590,PG,Comedy,Woody Allen,8000000.0,84.0,140000000.0
18597,R,Comedy,Dudley Moore,18000000.0,94.0,25000000.0
18607,PG-13,Comedy,Dudley Moore,15100000.0,118.0,25000000.0
18615,PG,Comedy,Goldie Hawn,12000000.0,96.0,90000000.0
18765,R,Comedy,Geneviève Bujold,700000.0,106.0,
18884,PG,Comedy,Dudley Moore,12000000.0,96.0,25000000.0
18922,R,Horror,Tim Matheson,10000000.0,91.0,7000000.0
19332,PG-13,Drama,Diane Keaton,11000000.0,110.0,100000000.0
19405,PG,Drama,Paul McCartney,9000000.0,108.0,1200000000.0
19430,R,Comedy,Michael O'Keefe,7000000.0,96.0,2000000.0
19653,PG,Adventure,Donald Sutherland,12000000.0,91.0,60000000.0
19763,R,Drama,Debra Winger,6300000.0,109.0,8000000.0
20375,R,Comedy,Brooke Adams,1000000.0,96.0,10000000.0
20383,G,Adventure,Martin Landau,25000000.0,96.0,10000000.0
20415,PG-13,Comedy,Anthony Michael Hall,7500000.0,94.0,8000000.0
20436,PG,Adventure,Sean Astin,19000000.0,114.0,10000000.0
20444,PG,Adventure,Michael J. Fox,19000000.0,116.0,65000000.0
20462,R,Action,William Petersen,6000000.0,116.0,35000000.0
20470,PG,Comedy,Eileen Brennan,15000000.0,94.0,
20511,R,Comedy,Emilio Estevez,1000000.0,97.0,18000000.0
20539,PG-13,Comedy,Don Ameche,17500000.0,117.0,10000000.0
20604,R,Action,Sylvester Stallone,44000000.0,96.0,400000000.0
20615,PG-13,Biography,Cher,8000000.0,120.0,25000000.0
20723,PG,Adventure,Tom Cruise,24500000.0,94.0,600000000.0
20917,R,Comedy,Clu Gulager,4000000.0,91.0,10000000.0
20926,R,Drama,Demi Moore,10000000.0,110.0,200000000.0
20934,R,Drama,Jonathan Pryce,15000000.0,132.0,5000000.0
20952,R,Drama,Clint Eastwood,6900000.0,115.0,375000000.0
20989,PG,Comedy,Val Kilmer,8000000.0,108.0,25000000.0
20998,R,Action,Arnold Schwarzenegger,10000000.0,90.0,400000000.0
21029,R,Crime,Harrison Ford,12000000.0,112.0,300000000.0
21192,PG-13,Drama,Danny Glover,15000000.0,154.0,40000000.0
21219,PG-13,Action,Kevin Kline,26000000.0,133.0,35000000.0
21227,PG,Drama,Sylvester Stallone,30000000.0,91.0,400000000.0
21243,PG-13,Adventure,Matthew Broderick,20000000.0,121.0,200000000.0
21253,Not Rated,Drama,Maggie Smith,3000000.0,117.0,18000000.0
21261,PG-13,Action,Arnold Schwarzenegger,17900000.0,89.0,400000000.0
21280,R,Fantasy,Chris Sarandon,9000000.0,106.0,5000000.0
21356,PG,Adventure,Ethan Hawke,25000000.0,109.0,55000000.0
21368,PG-13,Action,Mel Gibson,10000000.0,107.0,425000000.0
21376,R,Comedy,Griffin Dunne,4500000.0,97.0,6000000.0
21572,PG,Action,Roger Moore,30000000.0,131.0,110000000.0
21581,PG,Comedy,Chevy Chase,8000000.0,98.0,50000000.0
