,title,rating,genre,score,star,budget,runtime,star_net_worth,movie_star_rating
46123,Sea of Love,R,Crime,6.8,Al Pacino,19000000,113,120000000,B
46396,K-9,PG-13,Action,6,Jim Belushi,17000000,101,50000000,B
46436,Henry V,PG-13,Action,7.5,Kenneth Branagh,9000000,137,60000000,B
46651,The Fabulous Baker Boys,R,Comedy,6.9,Jeff Bridges,13000000,114,100000000,B
46776,Blaze,R,Biography,6,Paul Newman,22000000,120,80000000,B
46872,Fletch Lives,PG,Comedy,6.1,Chevy Chase,8000000,95,50000000,B
46881,Communion,R,Biography,5.6,Christopher Walken,5000000,107,50000000,B
47187,Kinjite: Forbidden Subjects,R,Action,5.5,Charles Bronson,5000000,97,65000000,B
47204,New York Stories,PG,Comedy,6.4,Woody Allen,15000000,124,140000000,B
47233,Cousins,PG-13,Comedy,6.3,Ted Danson,13000000,113,80000000,B
47491,Fat Man and Little Boy,PG-13,Biography,6.5,Paul Newman,30000000,127,80000000,B
47540,Three Fugitives,PG-13,Action,6.2,Nick Nolte,15000000,96,75000000,B
48362,A Dry White Season,R,Drama,7,Donald Sutherland,9000000,106,60000000,B
48632,Dead Bang,R,Action,6.1,Don Johnson,14500000,102,50000000,B
48707,Renegades,R,Action,5.4,Kiefer Sutherland,16000000,106,100000000,B
49315,Farewell to the King,PG-13,Action,6.3,Nick Nolte,20000000,117,75000000,B
49331,Immediate Family,PG-13,Drama,6,Glenn Close,14000000,95,50000000,B
50238,The Lemon Sisters,PG-13,Comedy,5,Diane Keaton,9000000,93,100000000,B
50294,The Godfather: Part III,R,Crime,7.6,Al Pacino,54000000,162,120000000,B
50344,Pretty Woman,R,Comedy,7,Richard Gere,14000000,119,120000000,B
50768,Edward Scissorhands,PG-13,Drama,7.9,Johnny Depp,20000000,105,150000000,B
50787,Dick Tracy,PG,Action,6.1,Warren Beatty,47000000,105,70000000,B
50974,Jacob's Ladder,R,Drama,7.5,Tim Robbins,25000000,113,70000000,B
50997,Back to the Future Part III,PG,Adventure,7.4,Michael J. Fox,40000000,118,65000000,B
51007,Darkman,R,Action,6.4,Liam Neeson,14000000,96,145000000,B
51030,The Hot Spot,R,Crime,6.4,Don Johnson,13000000,130,50000000,B
51055,Cry-Baby,PG-13,Comedy,6.5,Johnny Depp,11000000,85,150000000,B
51101,King of New York,R,Crime,7,Christopher Walken,5300000,103,50000000,B
51859,Flatliners,R,Drama,6.6,Kiefer Sutherland,26000000,115,100000000,B
51987,Internal Affairs,R,Crime,6.5,Richard Gere,15000000,115,120000000,B
52159,The Rescuers Down Under,G,Animation,6.9,Bob Newhart,30000000,77,65000000,B
53122,State of Grace,R,Action,7.2,Sean Penn,18000000,134,70000000,B
53557,Mr. Destiny,PG-13,Comedy,6.4,Jim Belushi,20000000,110,50000000,B
53565,The Freshman,PG,Comedy,6.5,Marlon Brando,12000000,102,100000000,B
53776,Bad Influence,R,Drama,6.3,Rob Lowe,7000000,99,100000000,B
54693,Alice,PG-13,Comedy,6.6,Mia Farrow,12000000,106,60000000,B
55785,A Shock to the System,R,Comedy,6.7,Michael Caine,12000000,88,75000000,B
56418,Loose Cannons,R,Action,4.9,Gene Hackman,15000000,94,80000000,B
57259,The Silence of the Lambs,R,Crime,8.6,Jodie Foster,19000000,118,100000000,B
57269,Hook,PG,Adventure,6.8,Dustin Hoffman,70000000,142,100000000,B
57334,The Addams Family,PG-13,Comedy,6.9,Anjelica Huston,30000000,99,50000000,B
57432,Thelma & Louise,R,Adventure,7.5,Susan Sarandon,16500000,130,60000000,B
57948,Backdraft,R,Action,6.7,Kurt Russell,40000000,137,100000000,B
58020,City Slickers,PG-13,Comedy,6.8,Billy Crystal,27000000,113,60000000,B
58045,The Fisher King,R,Comedy,7.5,Jeff Bridges,24000000,137,100000000,B
58088,Star Trek VI: The Undiscovered Country,PG,Action,7.2,William Shatner,30000000,110,100000000,B
58146,Nothing But Trouble,PG-13,Comedy,5.1,Chevy Chase,40000000,94,50000000,B
58346,Bugsy,R,Biography,6.8,Warren Beatty,30000000,136,70000000,B
58354,Doc Hollywood,PG-13,Comedy,6.2,Michael J. Fox,20000000,104,65000000,B
58589,The Hard Way,R,Action,6.4,Michael J. Fox,24000000,111,65000000,B
59068,Dead Again,R,Crime,6.9,Kenneth Branagh,15000000,107,60000000,B
59141,Life Stinks,PG-13,Comedy,5.9,Mel Brooks,13000000,92,100000000,B
59149,Frankie and Johnny,R,Comedy,6.7,Al Pacino,29000000,118,120000000,B
59229,Soapdish,PG-13,Comedy,6.6,Sally Field,25000000,97,55000000,B
59238,Curly Sue,PG,Comedy,5.9,Jim Belushi,25000000,101,50000000,B
59283,Rock-A-Doodle,G,Animation,6.1,Glen Campbell,18000000,77,50000000,B
59328,Switch,R,Comedy,5.8,Ellen Barkin,14000000,103,80000000,B
59558,White Fang,PG,Adventure,6.7,Ethan Hawke,14000000,107,55000000,B
59639,Dutch,PG-13,Comedy,6.5,Ed O'Neill,17000000,107,65000000,B
60372,Little Man Tate,PG,Drama,6.6,Jodie Foster,10000000,99,100000000,B
60380,Shadows and Fog,PG-13,Comedy,6.7,Woody Allen,14000000,85,140000000,B
60403,Billy Bathgate,R,Crime,5.9,Dustin Hoffman,48000000,106,100000000,B
60581,Mystery Date,PG-13,Comedy,6,Ethan Hawke,10000000,97,55000000,B
60818,King Ralph,PG,Comedy,5.3,John Goodman,23000000,97,65000000,B
60973,Under Suspicion,R,Crime,6.5,Liam Neeson,6000000,99,145000000,B
61375,The Super,R,Comedy,5.6,Joe Pesci,22000000,95,50000000,B
61688,True Colors,R,Drama,6.3,John Cusack,20000000,111,50000000,B
62227,Run,R,Action,6.2,Patrick Dempsey,16000000,91,80000000,B
62723,Company Business,PG-13,Action,5.6,Gene Hackman,18000000,98,80000000,B
63217,My Cousin Vinny,R,Comedy,7.6,Joe Pesci,11000000,120,50000000,B
63225,The Last of the Mohicans,R,Action,7.7,Daniel Day-Lewis,40000000,112,60000000,B
63576,Scent of a Woman,R,Drama,8,Al Pacino,31000000,156,120000000,B
63788,Sister Act,PG,Comedy,6.4,Whoopi Goldberg,31000000,100,60000000,B
63798,Alien 3,R,Action,6.5,Sigourney Weaver,50000000,114,60000000,B
63928,Single White Female,R,Drama,6.4,Bridget Fonda,16000000,107,50000000,B
63954,Glengarry Glen Ross,R,Crime,7.7,Al Pacino,12500000,100,120000000,B
64275,Newsies,PG,Drama,6.9,Christian Bale,15000000,121,120000000,B
64319,Poison Ivy,R,Drama,5.4,Drew Barrymore,3000000,93,125000000,B
64421,The Player,R,Comedy,7.5,Tim Robbins,8000000,124,70000000,B
64594,Bitter Moon,R,Drama,7.2,Hugh Grant,5000000,139,150000000,B
64647,HouseSitter,PG,Comedy,6.1,Steve Martin,26000000,102,140000000,B
64861,Captain Ron,PG-13,Adventure,5.8,Kurt Russell,24000000,100,100000000,B
65119,Toys,PG-13,Adventure,5.1,Robin Williams,43000000,118,50000000,B
65465,Lorenzo's Oil,PG-13,Biography,7.3,Nick Nolte,30000000,129,75000000,B
65474,Final Analysis,R,Drama,5.9,Richard Gere,32000000,124,120000000,B
65644,Memoirs of an Invisible Man,PG-13,Comedy,6,Chevy Chase,40000000,99,50000000,B
65754,Noises Off...,PG-13,Comedy,7.5,Michael Caine,12000000,101,75000000,B
65995,Husbands and Wives,R,Comedy,7.5,Woody Allen,20000000,108,140000000,B
66271,Hero,PG-13,Comedy,6.5,Dustin Hoffman,42000000,119,100000000,B
66786,The Muppet Christmas Carol,G,Comedy,7.7,Michael Caine,12000000,85,75000000,B
66835,CrissCross,R,Crime,5.8,Goldie Hawn,14000000,100,90000000,B
67093,American Heart,R,Crime,6.7,Jeff Bridges,10000000,113,100000000,B
67135,Christopher Columbus: The Discovery,PG-13,Adventure,4.5,Marlon Brando,40000000,120,100000000,B
67162,The Public Eye,R,Crime,6.5,Joe Pesci,15000000,99,50000000,B
67268,Mr. Saturday Night,R,Comedy,5.9,Billy Crystal,43000000,119,60000000,B
67325,Guncrazy,R,Crime,5.5,Drew Barrymore,800000,97,125000000,B
67688,Tombstone,R,Action,7.8,Kurt Russell,25000000,130,100000000,B
67733,Schindler's List,R,Biography,8.9,Liam Neeson,22000000,195,145000000,B
67930,What's Eating Gilbert Grape,PG-13,Drama,7.7,Johnny Depp,11000000,118,150000000,B
67969,Carlito's Way,R,Crime,7.9,Al Pacino,30000000,144,120000000,B
67979,Mrs. Doubtfire,PG-13,Comedy,7,Robin Williams,25000000,125,50000000,B
68286,Sister Act 2: Back in the Habit,PG,Comedy,5.6,Whoopi Goldberg,38000000,107,60000000,B
68414,The Nightmare Before Christmas,PG,Animation,8,Danny Elfman,18000000,76,50000000,B
68444,In the Name of the Father,R,Biography,8.1,Daniel Day-Lewis,13000000,133,60000000,B
68482,Alive,R,Biography,7.1,Ethan Hawke,32000000,120,55000000,B
